metric,related_condition,treatment_recommendation,medication_name,prevention_tips,question,answer,normal_range,category,query,advice,dosage,common_side_effects,severity,disease_association,symptom,drug_interactions,disease
 blurry vision,Diabetes,Regular physical activity, Metformin,Limit sugar intake,What are the symptoms of diabetes?,"Frequent urination, increased thirst, extreme fatigue, blurry vision",,FAQ,,,,,Moderate,Diabetes,Fatigue,,Diabetes
Hypertension,Exercise regularly, Lisinopril,Limit salt intake,How can I reduce blood pressure?,"Exercise regularly, reduce salt intake, manage stress",120/80 mmHg,FAQ,,,,,,High,Hypertension,Headaches,,Hypertension
Asthma,Inhalers, bronchodilators,Avoid allergens,What are the symptoms of asthma?,"Wheezing, chest tightness, coughing, especially at night","This is a placeholder enriched answer for: Wheezing, chest tightness, coughing, especially at night",FAQ,,,,,High,Asthma,Coughing,,Asthma,
Rest, hydration, Avoid triggers,Limit bright lights,What are migraine symptoms?,"Throbbing headache, nausea, light sensitivity","This is a placeholder enriched answer for: Throbbing headache, nausea, light sensitivity",FAQ,,,,,Moderate,Migraine,Headache,,Migraine,
Arthritis,Anti-inflammatory medications, physical therapy,Weight-bearing exercise,What are the symptoms of arthritis?,"Joint pain, swelling, stiffness, reduced range of motion","This is a placeholder enriched answer for: Joint pain, swelling, stiffness, reduced range of motion",FAQ,,,,,Moderate,Arthritis,Stiffness,,Arthritis,
,500mg daily,Stomach pain,Medication,To be added,What are the benefits of eating fruits?,"Fruits are rich in vitamins, minerals, fiber, and antioxidants, which help boost immunity and overall health.",Avoid excessive alcohol consumption,Diabetes,,,,,,,,,
,10mg daily,Dizziness,Medication,To be added,How much protein do I need daily?,The recommended daily protein intake is about 0.8 grams per kilogram of body weight for an average adult.,Avoid potassium supplements,Hypertension,,,,,,,,,
,90mcg inhalation,Tremors,Medication,To be added,What are good sources of fiber,"Foods like whole grains, fruits, vegetables, beans, and nuts are excellent sources of fiber.s is a placeholder enriched answer for: To be added",Avoid beta blockers,Asthma,,,,,,,,,
,81mg,Bleeding risk,Medication,To be added,What are healthy fats?,"Healthy fats include those found in avocados, nuts, seeds, olive oil, and fatty fish like salmon.",Avoid with other blood thinners,Heart Disease,,,,,,,,,
Exercise regularly,Maintain a healthy weight,Drink at least 8 cups of water daily,Reduce salt intake,Exercise regularly,What vitamins are important for the body?,"Vitamins like A, B, C, D, E, and K are essential for various body functions, including immunity and bone health.",,,,,,,,,,,
Obesity,Hypertension,To be added,Eating balanced meals and avoiding processed foods,To be added,Symptoms: Nausea, dizziness,,Food alternatives: Fried food: Baked or grilled food,,,,,,,,,
Allergic Reaction,Antihistamine cream, Avoid allergens,Avoid triggers,What are the symptoms of an allergic reaction?,"Red, itchy rash, swelling","This is a placeholder enriched answer for: Red, itchy rash, swelling",,FAQ,,,High,Allergic Reaction,Rash,,Allergic Reaction,,
Take regular meals, take antacids,What are the symptoms of gastritis?,"Abdominal pain, bloating, nausea",To be added,Can you suggest a healthy breakfast recipe?,"Sure! Try oatmeal with almond milk, fresh berries, chia seeds, and a drizzle of honey.",,Moderate,Gastritis,Pain,,Gastritis,,,,,
,Increase dietary iron intake,Iron level: 60-170 mcg/dL,What food helps with anemia?,"Leafy greens, beans, fortified cereals, meat",To be added,This is a placeholder enriched answer for: To be added,,Food-Nutrition,,,,,,,,,
,Sun exposure, fish, fortified foods,Vitamin D level: 20-50 ng/mL,What foods should I eat for stronger bones?,"Foods rich in calcium and vitamin D like dairy products, leafy greens, and fish",,,,Food-Nutrition,,,,,,,
,Fatty fish, walnuts, flaxseeds,Omega-3 level,What is the best food for heart health?,"Foods rich in omega-3 fatty acids, such as salmon and walnuts",,,,Food-Nutrition,,,,,,,
Osteoarthritis,Anti-inflammatory medications, regular exercise,Maintain a healthy weight,How can I manage osteoarthritis?,"Take medications as prescribed, engage in regular low-impact exercise","This is a placeholder enriched answer for: Take medications as prescribed, engage in regular low-impact exercise",FAQ,,,,,Moderate,Osteoarthritis,Joint Pain,,Osteoarthritis,
Heart Disease,To be added,To be added,To be added,To be added,What are some quick healthy snacks?,"Try nuts, Greek yogurt with fruit, hummus with veggies, or a boiled egg",,,,,,,,,,,
Diabetes,To be added,To be added,To be added,To be added,How can I make my meals healthier?,"Use whole grains, reduce added sugars, choose lean protein, and cook with healthy oils like olive oil.",,,,,,,,,,,
Obesity,To be added,To be added,To be added,To be added,What is a good vegetarian protein source?,"Lentils, chickpeas, tofu, tempeh, and quinoa are excellent vegetarian protein sources.",,,,,,,,,,,
Stroke,Seek immediate medical attention,To be added,What are the symptoms of a stroke?,"Sudden numbness, confusion, trouble speaking, severe headache",How do I cook quinoa perfectly?,"FRinse the quinoa, then cook it in a 2:1 water-to-quinoa ratio. Simmer for 15-20 minutes until fluffy.AQ",,,,,High,Stroke,Numbness,,Stroke,,
Use prescribed inhalers and avoid triggers,To be added,What are the symptoms of COPD?,"Chronic cough, shortness of breath, wheezing",To be added,How much water should I drink daily?,"Aim for about 8-10 glasses (2-2.5 liters) of water daily, or more if you're active.",,,,Moderate,COPD,Breathing difficulty,,COPD,,,
Food Poisoning,Rest, hydration, and small meals,To be added,What are the symptoms of food poisoning?,"Nausea, vomiting, diarrhea, abdominal cramps",,FAQ,,,,,Moderate,Food Poisoning,Stomach cramps,,Food Poisoning
,Food-Nutrition,To be added,To be added,To be added,What are the benefits of regular exercise?,This is a placeholder enriched answer for: To be added,,,,,,,,,,,
,Food-Nutrition,To be added,To be added,To be added,To be added,This is a placeholder enriched answer for: To be added,,,,,,,,,,,
,Food-Nutrition,To be added,To be added,To be added,To be added,This is a placeholder enriched answer for: To be added,,,,,,,,,,,
IBS,Avoid trigger foods, high-fiber diet,Stay hydrated,What are the symptoms of IBS?,"Bloating, gas, cramping, diarrhea or constipation","This is a placeholder enriched answer for: Bloating, gas, cramping, diarrhea or constipation",FAQ,,,,,Moderate,IBS,Bloating,,IBS,
Chronic Bronchitis,Quit smoking, bronchodilators,Inhalers,What are the symptoms of chronic bronchitis?,"Persistent cough, mucus production, shortness of breath","This is a placeholder enriched answer for: Persistent cough, mucus production, shortness of breath",FAQ,,,,,Moderate,Chronic Bronchitis,Cough,,Chronic Bronchitis,
,20mg daily,Muscle pain,Medication,To be added,To be added,This is a placeholder enriched answer for: To be added,Avoid grapefruit,Heart Disease,,,,,,,,,
,300mg daily,Drowsiness,Medication,To be added,To be added,This is a placeholder enriched answer for: To be added,Avoid alcohol,Neuropathy,,,,,,,,,
,Smoking cessation, Increase physical activity,"Avoid processed meats, eat more fiber-rich foods",To be added,To be added,This is a placeholder enriched answer for: To be added,,,,,,,,,,,
Acid Reflux,Antacids, Lifestyle changes,Avoid citrus, spicy foods,What are the symptoms of acid reflux?,"Heartburn, regurgitation, pain in the chest",,FAQ,,,,,Moderate,Acid Reflux,Heartburn,,Acid Reflux
Medication to reduce symptoms,Drink plenty of water,What are the symptoms of constipation?,"Infrequent or difficult bowel movements, abdominal pain",To be added,FAQ,This is a placeholder enriched answer for: FAQ,,,,Moderate,Constipation,Cramping,,Constipation,,,
Cold,Rest, hydration, and over-the-counter cold medicine,To be added,What are the symptoms of a cold?,"Sneezing, coughing, sore throat, runny nose",,FAQ,,,,,Moderate,Cold,Runny nose,,Cold
,Bananas, spinach, avocado,Potassium level: 3.5-5.0 mEq/L,What foods help with muscle cramps?,"Foods high in potassium, such as bananas, spinach, and potatoes",,,,Food-Nutrition,,,,,,,
,Almonds, spinach, whole grains,Magnesium level: 1.7-2.2 mg/dL,What foods help with sleep?,Foods rich in magnesium like almonds and leafy greens,,,,Food-Nutrition,,,,,,,
,5mg daily,Stomach upset, Medication,To be added,To be added,This is a placeholder enriched answer for: To be added,Avoid NSAIDs,Arthritis,,,,,,,,,
,To be added,To be added,Food-Nutrition,To be added,To be added,This is a placeholder enriched answer for: To be added,,,,,,,,,,,
,Food-Nutrition,To be added,To be added,To be added,To be added,This is a placeholder enriched answer for: To be added,,,,,,,,,,,
Heart Disease,Seek immediate medical care,To be added,What are the symptoms of a heart attack?,"Chest pain, sweating, nausea, shortness of breath",To be added,FAQ,,,,,High,Heart Disease,Chest pain,,Heart Disease,,
Lupus,Immunosuppressive drugs,Hydroxychloroquine,Avoid direct sunlight,What are the symptoms of lupus?,"Chronic fatigue, skin rashes, joint pain, photosensitivity","This is a placeholder enriched answer for: Chronic fatigue, skin rashes, joint pain, photosensitivity",FAQ,,,,,Moderate,Lupus,Fatigue,,Lupus,
,To be added,Oranges, strawberries, red bell peppers,Vitamin C level: 0.6-2.0 mg/dL,What foods help with immune function?,"Foods rich in vitamin C and iron, like citrus fruits and leafy greens",,,,Food-Nutrition,,,,,,
,,,,,What are the symptoms of a common cold?,"Runny nose, sore throat, cough, and mild fever.",,,,,,,,,,,
,,,,,How to treat a headache?,"Rest, hydration, and over-the-counter pain relievers like ibuprofen.",,,,,,,,,,,
,,,,,What are preventive measures for diabetes?,"Maintain a healthy weight, exercise regularly, and limit sugar intake.",,,,,,,,,,,
,,,,,How to improve sleep quality?,"Establish a consistent sleep schedule, avoid caffeine late in the day, and create a comfortable sleeping environment.",,,,,,,,,,,
,,,,,What foods are good for heart health?,"Oats, fatty fish like salmon, nuts, and leafy greens are great for heart health.",,,,,,,,,,,
